1 20, 15, 12, 7
2 24, 7, 7, 7
3 15, 13, 11, 4
4 14, 13, 11, 6
5 2, 12, 27, 13
6 6, 11, 33, 16
7 7, 11, 33, 19
8 17, 3, 13, 8
9 13, 11, 16, 13
10 22, 10, 13, 15
11 24, 3, 12, 8
12 32, 12, 17, 17
13 2, 13, 19, 6
14 7, 15, 12, 10
15 19, 6, 8, 8
16 25, 8, 12, 7
17 30, 7, 15, 11
18 30, 17, 21, 15
19 26, 12, 12, 11
20 3, 8, 13, 16
21 19, 10, 9, 7
22 16, 3, 10, 11
23 11, 4, 18, 8
24 9, 8, 27, 15
25 16, 11, 8, 10
26 19, 10, 5, 5
27 18, 8, 7, 6
28 11, 8, 12, 8
29 5, 11, 24, 5
30 3, 9, 22, 6
31 8, 8, 20, 6
32 7, 11, 19, 8
33 21, 15, 18, 14
34 23, 11, 10, 11
35 10, 16, 22, 14
36 18, 18, 29, 14
37 20, 14, 10, 10
38 20, 10, 4, 6
39 19, 8, 12, 7
40 13, 4, 15, 14
41 22, 6, 8, 13
42 0, 10, 19, 10
43 13, 9, 22, 12
44 18, 6, 15, 7
45 14, 6, 20, 10
46 13, 12, 20, 8
47 15, 6, 12, 12
48 11, 14, 13, 1
