area	lon_wmc	lat_wmc	area_ext_coord	indx	indy
A208	9.687500	39.906250	[(9.025, 39.67123272), (9.716666666666667, 39.67123272), (9.716666666666667, 40.19519009333333), (9.025, 40.19519009333333), (9.025, 39.67123272)]	21	18
A209	9.687500	40.281250	[(9.025, 40.19519009333333), (9.716666666666667, 40.19519009333333), (9.716666666666667, 40.71914746666667), (9.025, 40.71914746666667), (9.025, 40.19519009333333)]	21	19
A210	9.549107	41.116071	[(9.025, 40.71914746666667), (9.716666666666667, 40.71914746666667), (9.716666666666667, 41.24310484), (9.025, 41.24310484), (9.025, 40.71914746666667)]	21	20
A211	9.466797	41.461914	[(9.025, 41.24310484), (9.716666666666667, 41.24310484), (9.716666666666667, 41.76706221333333), (9.025, 41.76706221333333), (9.025, 41.24310484)]	21	21
A212	9.590726	42.000000	[(9.025, 41.76706221333333), (9.716666666666667, 41.76706221333333), (9.716666666666667, 42.291019586666664), (9.025, 42.291019586666664), (9.025, 41.76706221333333)]	21	22
A213	9.495536	42.632440	[(9.025, 42.291019586666664), (9.716666666666667, 42.291019586666664), (9.716666666666667, 42.814976959999996), (9.025, 42.814976959999996), (9.025, 42.291019586666664)]	21	23
A214	9.373512	43.102679	[(9.025, 42.814976959999996), (9.716666666666667, 42.814976959999996), (9.716666666666667, 43.338934333333334), (9.025, 43.338934333333334), (9.025, 42.814976959999996)]	21	24
A215	9.375000	43.593750	[(9.025, 43.338934333333334), (9.716666666666667, 43.338934333333334), (9.716666666666667, 43.862891706666666), (9.025, 43.862891706666666), (9.025, 43.338934333333334)]	21	25
A216	9.338393	44.050000	[(9.025, 43.862891706666666), (9.716666666666667, 43.862891706666666), (9.716666666666667, 44.38684908), (9.025, 44.38684908), (9.025, 43.862891706666666)]	21	26
A217	10.325000	33.850000	[(9.716666666666667, 33.38374424), (10.408333333333333, 33.38374424), (10.408333333333333, 33.90770161333333), (9.716666666666667, 33.90770161333333), (9.716666666666667, 33.38374424)]	22	6
A218	10.268750	34.112500	[(9.716666666666667, 33.90770161333333), (10.408333333333333, 33.90770161333333), (10.408333333333333, 34.43165898666666), (9.716666666666667, 34.43165898666666), (9.716666666666667, 33.90770161333333)]	22	7
A219	10.348214	36.892857	[(9.716666666666667, 36.52748848), (10.408333333333333, 36.52748848), (10.408333333333333, 37.051445853333334), (9.716666666666667, 37.051445853333334), (9.716666666666667, 36.52748848)]	22	12
A220	10.109375	37.411458	[(9.716666666666667, 37.051445853333334), (10.408333333333333, 37.051445853333334), (10.408333333333333, 37.575403226666666), (9.716666666666667, 37.575403226666666), (9.716666666666667, 37.051445853333334)]	22	13
A221	10.062500	37.843750	[(9.716666666666667, 37.575403226666666), (10.408333333333333, 37.575403226666666), (10.408333333333333, 38.0993606), (9.716666666666667, 38.0993606), (9.716666666666667, 37.575403226666666)]	22	14
A222	10.062500	38.343750	[(9.716666666666667, 38.0993606), (10.408333333333333, 38.0993606), (10.408333333333333, 38.62331797333333), (9.716666666666667, 38.62331797333333), (9.716666666666667, 38.0993606)]	22	15
A223	10.062500	38.875000	[(9.716666666666667, 38.62331797333333), (10.408333333333333, 38.62331797333333), (10.408333333333333, 39.14727534666667), (9.716666666666667, 39.14727534666667), (9.716666666666667, 38.62331797333333)]	22	16
A224	10.062500	39.406250	[(9.716666666666667, 39.14727534666667), (10.408333333333333, 39.14727534666667), (10.408333333333333, 39.67123272), (9.716666666666667, 39.67123272), (9.716666666666667, 39.14727534666667)]	22	17
A225	10.062500	39.937500	[(9.716666666666667, 39.67123272), (10.408333333333333, 39.67123272), (10.408333333333333, 40.19519009333333), (9.716666666666667, 40.19519009333333), (9.716666666666667, 39.67123272)]	22	18
A226	10.085366	40.464177	[(9.716666666666667, 40.19519009333333), (10.408333333333333, 40.19519009333333), (10.408333333333333, 40.71914746666667), (9.716666666666667, 40.71914746666667), (9.716666666666667, 40.19519009333333)]	22	19
A227	10.062500	40.968750	[(9.716666666666667, 40.71914746666667), (10.408333333333333, 40.71914746666667), (10.408333333333333, 41.24310484), (9.716666666666667, 41.24310484), (9.716666666666667, 40.71914746666667)]	22	20
A228	10.062500	41.500000	[(9.716666666666667, 41.24310484), (10.408333333333333, 41.24310484), (10.408333333333333, 41.76706221333333), (9.716666666666667, 41.76706221333333), (9.716666666666667, 41.24310484)]	22	21
A229	10.062500	42.031250	[(9.716666666666667, 41.76706221333333), (10.408333333333333, 41.76706221333333), (10.408333333333333, 42.291019586666664), (9.716666666666667, 42.291019586666664), (9.716666666666667, 41.76706221333333)]	22	22
A230	10.041433	42.537921	[(9.716666666666667, 42.291019586666664), (10.408333333333333, 42.291019586666664), (10.408333333333333, 42.814976959999996), (9.716666666666667, 42.814976959999996), (9.716666666666667, 42.291019586666664)]	22	23
A231	10.064706	43.097794	[(9.716666666666667, 42.814976959999996), (10.408333333333333, 42.814976959999996), (10.408333333333333, 43.338934333333334), (9.716666666666667, 43.338934333333334), (9.716666666666667, 42.814976959999996)]	22	24
A232	10.006849	43.580479	[(9.716666666666667, 43.338934333333334), (10.408333333333333, 43.338934333333334), (10.408333333333333, 43.862891706666666), (9.716666666666667, 43.862891706666666), (9.716666666666667, 43.338934333333334)]	22	25
A233	9.925595	43.934524	[(9.716666666666667, 43.862891706666666), (10.408333333333333, 43.862891706666666), (10.408333333333333, 44.38684908), (9.716666666666667, 44.38684908), (9.716666666666667, 43.862891706666666)]	22	26
A234	10.587500	33.820833	[(10.408333333333333, 33.38374424), (11.100000000000001, 33.38374424), (11.100000000000001, 33.90770161333333), (10.408333333333333, 33.90770161333333), (10.408333333333333, 33.38374424)]	23	6
A235	10.750000	34.156250	[(10.408333333333333, 33.90770161333333), (11.100000000000001, 33.90770161333333), (11.100000000000001, 34.43165898666666), (10.408333333333333, 34.43165898666666), (10.408333333333333, 33.90770161333333)]	23	7
A236	10.881793	34.616848	[(10.408333333333333, 34.43165898666666), (11.100000000000001, 34.43165898666666), (11.100000000000001, 34.95561636), (10.408333333333333, 34.95561636), (10.408333333333333, 34.43165898666666)]	23	8
A237	11.062500	35.031250	[(10.408333333333333, 34.95561636), (11.100000000000001, 34.95561636), (11.100000000000001, 35.47957373333333), (10.408333333333333, 35.47957373333333), (10.408333333333333, 34.95561636)]	23	9
A238	10.875000	35.868750	[(10.408333333333333, 35.47957373333333), (11.100000000000001, 35.47957373333333), (11.100000000000001, 36.003531106666664), (10.408333333333333, 36.003531106666664), (10.408333333333333, 35.47957373333333)]	23	10
A239	10.821154	36.246154	[(10.408333333333333, 36.003531106666664), (11.100000000000001, 36.003531106666664), (11.100000000000001, 36.52748848), (10.408333333333333, 36.52748848), (10.408333333333333, 36.003531106666664)]	23	11
A240	10.742500	36.837500	[(10.408333333333333, 36.52748848), (11.100000000000001, 36.52748848), (11.100000000000001, 37.051445853333334), (10.408333333333333, 37.051445853333334), (10.408333333333333, 36.52748848)]	23	12
A241	10.744201	37.317655	[(10.408333333333333, 37.051445853333334), (11.100000000000001, 37.051445853333334), (11.100000000000001, 37.575403226666666), (10.408333333333333, 37.575403226666666), (10.408333333333333, 37.051445853333334)]	23	13
A242	10.750000	37.843750	[(10.408333333333333, 37.575403226666666), (11.100000000000001, 37.575403226666666), (11.100000000000001, 38.0993606), (10.408333333333333, 38.0993606), (10.408333333333333, 37.575403226666666)]	23	14
A243	10.750000	38.343750	[(10.408333333333333, 38.0993606), (11.100000000000001, 38.0993606), (11.100000000000001, 38.62331797333333), (10.408333333333333, 38.62331797333333), (10.408333333333333, 38.0993606)]	23	15
A244	10.750000	38.875000	[(10.408333333333333, 38.62331797333333), (11.100000000000001, 38.62331797333333), (11.100000000000001, 39.14727534666667), (10.408333333333333, 39.14727534666667), (10.408333333333333, 38.62331797333333)]	23	16
A245	10.750000	39.406250	[(10.408333333333333, 39.14727534666667), (11.100000000000001, 39.14727534666667), (11.100000000000001, 39.67123272), (10.408333333333333, 39.67123272), (10.408333333333333, 39.14727534666667)]	23	17
A246	10.750000	39.937500	[(10.408333333333333, 39.67123272), (11.100000000000001, 39.67123272), (11.100000000000001, 40.19519009333333), (10.408333333333333, 40.19519009333333), (10.408333333333333, 39.67123272)]	23	18
A247	10.750000	40.468750	[(10.408333333333333, 40.19519009333333), (11.100000000000001, 40.19519009333333), (11.100000000000001, 40.71914746666667), (10.408333333333333, 40.71914746666667), (10.408333333333333, 40.19519009333333)]	23	19
A248	10.750000	40.968750	[(10.408333333333333, 40.71914746666667), (11.100000000000001, 40.71914746666667), (11.100000000000001, 41.24310484), (10.408333333333333, 41.24310484), (10.408333333333333, 40.71914746666667)]	23	20
A249	10.750000	41.500000	[(10.408333333333333, 41.24310484), (11.100000000000001, 41.24310484), (11.100000000000001, 41.76706221333333), (10.408333333333333, 41.76706221333333), (10.408333333333333, 41.24310484)]	23	21
A250	10.750000	42.031250	[(10.408333333333333, 41.76706221333333), (11.100000000000001, 41.76706221333333), (11.100000000000001, 42.291019586666664), (10.408333333333333, 42.291019586666664), (10.408333333333333, 41.76706221333333)]	23	22
A251	10.727730	42.533046	[(10.408333333333333, 42.291019586666664), (11.100000000000001, 42.291019586666664), (11.100000000000001, 42.814976959999996), (10.408333333333333, 42.814976959999996), (10.408333333333333, 42.291019586666664)]	23	23
A252	10.500000	43.075893	[(10.408333333333333, 42.814976959999996), (11.100000000000001, 42.814976959999996), (11.100000000000001, 43.338934333333334), (10.408333333333333, 43.338934333333334), (10.408333333333333, 42.814976959999996)]	23	24
A253	11.593750	33.312500	[(11.100000000000001, 32.85978686666667), (11.791666666666668, 32.85978686666667), (11.791666666666668, 33.38374424), (11.100000000000001, 33.38374424), (11.100000000000001, 32.85978686666667)]	24	5
A254	11.451637	33.664435	[(11.100000000000001, 33.38374424), (11.791666666666668, 33.38374424), (11.791666666666668, 33.90770161333333), (11.100000000000001, 33.90770161333333), (11.100000000000001, 33.38374424)]	24	6
A255	11.437500	34.156250	[(11.100000000000001, 33.90770161333333), (11.791666666666668, 33.90770161333333), (11.791666666666668, 34.43165898666666), (11.100000000000001, 34.43165898666666), (11.100000000000001, 33.90770161333333)]	24	7
A256	11.453125	34.682745	[(11.100000000000001, 34.43165898666666), (11.791666666666668, 34.43165898666666), (11.791666666666668, 34.95561636), (11.100000000000001, 34.95561636), (11.100000000000001, 34.43165898666666)]	24	8
A257	11.444767	35.218750	[(11.100000000000001, 34.95561636), (11.791666666666668, 34.95561636), (11.791666666666668, 35.47957373333333), (11.100000000000001, 35.47957373333333), (11.100000000000001, 34.95561636)]	24	9
A258	11.437500	35.750000	[(11.100000000000001, 35.47957373333333), (11.791666666666668, 35.47957373333333), (11.791666666666668, 36.003531106666664), (11.100000000000001, 36.003531106666664), (11.100000000000001, 35.47957373333333)]	24	10
A259	11.437500	36.281250	[(11.100000000000001, 36.003531106666664), (11.791666666666668, 36.003531106666664), (11.791666666666668, 36.52748848), (11.100000000000001, 36.52748848), (11.100000000000001, 36.003531106666664)]	24	11
A260	11.437500	36.781250	[(11.100000000000001, 36.52748848), (11.791666666666668, 36.52748848), (11.791666666666668, 37.051445853333334), (11.100000000000001, 37.051445853333334), (11.100000000000001, 36.52748848)]	24	12
A261	11.437500	37.312500	[(11.100000000000001, 37.051445853333334), (11.791666666666668, 37.051445853333334), (11.791666666666668, 37.575403226666666), (11.100000000000001, 37.575403226666666), (11.100000000000001, 37.051445853333334)]	24	13
A262	11.437500	37.843750	[(11.100000000000001, 37.575403226666666), (11.791666666666668, 37.575403226666666), (11.791666666666668, 38.0993606), (11.100000000000001, 38.0993606), (11.100000000000001, 37.575403226666666)]	24	14
A263	11.437500	38.343750	[(11.100000000000001, 38.0993606), (11.791666666666668, 38.0993606), (11.791666666666668, 38.62331797333333), (11.100000000000001, 38.62331797333333), (11.100000000000001, 38.0993606)]	24	15
A264	11.437500	38.875000	[(11.100000000000001, 38.62331797333333), (11.791666666666668, 38.62331797333333), (11.791666666666668, 39.14727534666667), (11.100000000000001, 39.14727534666667), (11.100000000000001, 38.62331797333333)]	24	16
A265	11.437500	39.406250	[(11.100000000000001, 39.14727534666667), (11.791666666666668, 39.14727534666667), (11.791666666666668, 39.67123272), (11.100000000000001, 39.67123272), (11.100000000000001, 39.14727534666667)]	24	17
A266	11.437500	39.937500	[(11.100000000000001, 39.67123272), (11.791666666666668, 39.67123272), (11.791666666666668, 40.19519009333333), (11.100000000000001, 40.19519009333333), (11.100000000000001, 39.67123272)]	24	18
A267	11.437500	40.468750	[(11.100000000000001, 40.19519009333333), (11.791666666666668, 40.19519009333333), (11.791666666666668, 40.71914746666667), (11.100000000000001, 40.71914746666667), (11.100000000000001, 40.19519009333333)]	24	19
A268	11.437500	40.968750	[(11.100000000000001, 40.71914746666667), (11.791666666666668, 40.71914746666667), (11.791666666666668, 41.24310484), (11.100000000000001, 41.24310484), (11.100000000000001, 40.71914746666667)]	24	20
A269	11.437500	41.500000	[(11.100000000000001, 41.24310484), (11.791666666666668, 41.24310484), (11.791666666666668, 41.76706221333333), (11.100000000000001, 41.76706221333333), (11.100000000000001, 41.24310484)]	24	21
A270	11.427206	42.024265	[(11.100000000000001, 41.76706221333333), (11.791666666666668, 41.76706221333333), (11.791666666666668, 42.291019586666664), (11.100000000000001, 42.291019586666664), (11.100000000000001, 41.76706221333333)]	24	22
A271	11.335227	42.329545	[(11.100000000000001, 42.291019586666664), (11.791666666666668, 42.291019586666664), (11.791666666666668, 42.814976959999996), (11.100000000000001, 42.814976959999996), (11.100000000000001, 42.291019586666664)]	24	23
A272	12.171453	33.184122	[(11.791666666666668, 32.85978686666667), (12.483333333333334, 32.85978686666667), (12.483333333333334, 33.38374424), (11.791666666666668, 33.38374424), (11.791666666666668, 32.85978686666667)]	25	5
A273	12.125000	33.656250	[(11.791666666666668, 33.38374424), (12.483333333333334, 33.38374424), (12.483333333333334, 33.90770161333333), (11.791666666666668, 33.90770161333333), (11.791666666666668, 33.38374424)]	25	6
A274	12.125000	34.156250	[(11.791666666666668, 33.90770161333333), (12.483333333333334, 33.90770161333333), (12.483333333333334, 34.43165898666666), (11.791666666666668, 34.43165898666666), (11.791666666666668, 33.90770161333333)]	25	7
A275	12.125000	34.687500	[(11.791666666666668, 34.43165898666666), (12.483333333333334, 34.43165898666666), (12.483333333333334, 34.95561636), (11.791666666666668, 34.95561636), (11.791666666666668, 34.43165898666666)]	25	8
A276	12.125000	35.218750	[(11.791666666666668, 34.95561636), (12.483333333333334, 34.95561636), (12.483333333333334, 35.47957373333333), (11.791666666666668, 35.47957373333333), (11.791666666666668, 34.95561636)]	25	9
A277	12.125000	35.750000	[(11.791666666666668, 35.47957373333333), (12.483333333333334, 35.47957373333333), (12.483333333333334, 36.003531106666664), (11.791666666666668, 36.003531106666664), (11.791666666666668, 35.47957373333333)]	25	10
A278	12.125000	36.281250	[(11.791666666666668, 36.003531106666664), (12.483333333333334, 36.003531106666664), (12.483333333333334, 36.52748848), (11.791666666666668, 36.52748848), (11.791666666666668, 36.003531106666664)]	25	11
A279	12.131777	36.780873	[(11.791666666666668, 36.52748848), (12.483333333333334, 36.52748848), (12.483333333333334, 37.051445853333334), (11.791666666666668, 37.051445853333334), (11.791666666666668, 36.52748848)]	25	12
A280	12.125000	37.312500	[(11.791666666666668, 37.051445853333334), (12.483333333333334, 37.051445853333334), (12.483333333333334, 37.575403226666666), (11.791666666666668, 37.575403226666666), (11.791666666666668, 37.051445853333334)]	25	13
A281	12.098684	37.827303	[(11.791666666666668, 37.575403226666666), (12.483333333333334, 37.575403226666666), (12.483333333333334, 38.0993606), (11.791666666666668, 38.0993606), (11.791666666666668, 37.575403226666666)]	25	14
A282	12.125000	38.343750	[(11.791666666666668, 38.0993606), (12.483333333333334, 38.0993606), (12.483333333333334, 38.62331797333333), (11.791666666666668, 38.62331797333333), (11.791666666666668, 38.0993606)]	25	15
A283	12.125000	38.875000	[(11.791666666666668, 38.62331797333333), (12.483333333333334, 38.62331797333333), (12.483333333333334, 39.14727534666667), (11.791666666666668, 39.14727534666667), (11.791666666666668, 38.62331797333333)]	25	16
A284	12.125000	39.406250	[(11.791666666666668, 39.14727534666667), (12.483333333333334, 39.14727534666667), (12.483333333333334, 39.67123272), (11.791666666666668, 39.67123272), (11.791666666666668, 39.14727534666667)]	25	17
A285	12.125000	39.937500	[(11.791666666666668, 39.67123272), (12.483333333333334, 39.67123272), (12.483333333333334, 40.19519009333333), (11.791666666666668, 40.19519009333333), (11.791666666666668, 39.67123272)]	25	18
A286	12.125000	40.468750	[(11.791666666666668, 40.19519009333333), (12.483333333333334, 40.19519009333333), (12.483333333333334, 40.71914746666667), (11.791666666666668, 40.71914746666667), (11.791666666666668, 40.19519009333333)]	25	19
A287	12.125000	40.968750	[(11.791666666666668, 40.71914746666667), (12.483333333333334, 40.71914746666667), (12.483333333333334, 41.24310484), (11.791666666666668, 41.24310484), (11.791666666666668, 40.71914746666667)]	25	20
A288	12.105978	41.483696	[(11.791666666666668, 41.24310484), (12.483333333333334, 41.24310484), (12.483333333333334, 41.76706221333333), (11.791666666666668, 41.76706221333333), (11.791666666666668, 41.24310484)]	25	21
A289	11.953125	41.884375	[(11.791666666666668, 41.76706221333333), (12.483333333333334, 41.76706221333333), (12.483333333333334, 42.291019586666664), (11.791666666666668, 42.291019586666664), (11.791666666666668, 41.76706221333333)]	25	22
A290	12.421875	44.328125	[(11.791666666666668, 43.862891706666666), (12.483333333333334, 43.862891706666666), (12.483333333333334, 44.38684908), (11.791666666666668, 44.38684908), (11.791666666666668, 43.862891706666666)]	25	26
A291	12.386029	44.621324	[(11.791666666666668, 44.38684908), (12.483333333333334, 44.38684908), (12.483333333333334, 44.910806453333336), (11.791666666666668, 44.910806453333336), (11.791666666666668, 44.38684908)]	25	27
A292	12.416667	45.250000	[(11.791666666666668, 44.910806453333336), (12.483333333333334, 44.910806453333336), (12.483333333333334, 45.43476382666667), (11.791666666666668, 45.43476382666667), (11.791666666666668, 44.910806453333336)]	25	28
A293	12.809311	33.127551	[(12.483333333333334, 32.85978686666667), (13.175, 32.85978686666667), (13.175, 33.38374424), (12.483333333333334, 33.38374424), (12.483333333333334, 32.85978686666667)]	26	5
A294	12.812500	33.656250	[(12.483333333333334, 33.38374424), (13.175, 33.38374424), (13.175, 33.90770161333333), (12.483333333333334, 33.90770161333333), (12.483333333333334, 33.38374424)]	26	6
A295	12.812500	34.156250	[(12.483333333333334, 33.90770161333333), (13.175, 33.90770161333333), (13.175, 34.43165898666666), (12.483333333333334, 34.43165898666666), (12.483333333333334, 33.90770161333333)]	26	7
A296	12.812500	34.687500	[(12.483333333333334, 34.43165898666666), (13.175, 34.43165898666666), (13.175, 34.95561636), (12.483333333333334, 34.95561636), (12.483333333333334, 34.43165898666666)]	26	8
A297	12.817647	35.211765	[(12.483333333333334, 34.95561636), (13.175, 34.95561636), (13.175, 35.47957373333333), (12.483333333333334, 35.47957373333333), (12.483333333333334, 34.95561636)]	26	9
A298	12.818359	35.757812	[(12.483333333333334, 35.47957373333333), (13.175, 35.47957373333333), (13.175, 36.003531106666664), (12.483333333333334, 36.003531106666664), (12.483333333333334, 35.47957373333333)]	26	10
A299	12.812500	36.281250	[(12.483333333333334, 36.003531106666664), (13.175, 36.003531106666664), (13.175, 36.52748848), (12.483333333333334, 36.52748848), (12.483333333333334, 36.003531106666664)]	26	11
A300	12.812500	36.781250	[(12.483333333333334, 36.52748848), (13.175, 36.52748848), (13.175, 37.051445853333334), (12.483333333333334, 37.051445853333334), (12.483333333333334, 36.52748848)]	26	12
A301	12.798537	37.300532	[(12.483333333333334, 37.051445853333334), (13.175, 37.051445853333334), (13.175, 37.575403226666666), (12.483333333333334, 37.575403226666666), (12.483333333333334, 37.051445853333334)]	26	13
A302	12.675000	37.887500	[(12.483333333333334, 37.575403226666666), (13.175, 37.575403226666666), (13.175, 38.0993606), (12.483333333333334, 38.0993606), (12.483333333333334, 37.575403226666666)]	26	14
A303	12.804217	38.356175	[(12.483333333333334, 38.0993606), (13.175, 38.0993606), (13.175, 38.62331797333333), (12.483333333333334, 38.62331797333333), (12.483333333333334, 38.0993606)]	26	15
A304	12.809311	38.876913	[(12.483333333333334, 38.62331797333333), (13.175, 38.62331797333333), (13.175, 39.14727534666667), (12.483333333333334, 39.14727534666667), (12.483333333333334, 38.62331797333333)]	26	16
A305	12.812500	39.406250	[(12.483333333333334, 39.14727534666667), (13.175, 39.14727534666667), (13.175, 39.67123272), (12.483333333333334, 39.67123272), (12.483333333333334, 39.14727534666667)]	26	17
A306	12.812500	39.937500	[(12.483333333333334, 39.67123272), (13.175, 39.67123272), (13.175, 40.19519009333333), (12.483333333333334, 40.19519009333333), (12.483333333333334, 39.67123272)]	26	18
A307	12.812500	40.468750	[(12.483333333333334, 40.19519009333333), (13.175, 40.19519009333333), (13.175, 40.71914746666667), (12.483333333333334, 40.71914746666667), (12.483333333333334, 40.19519009333333)]	26	19
A308	12.805060	40.971726	[(12.483333333333334, 40.71914746666667), (13.175, 40.71914746666667), (13.175, 41.24310484), (12.483333333333334, 41.24310484), (12.483333333333334, 40.71914746666667)]	26	20
A309	12.687500	41.338362	[(12.483333333333334, 41.24310484), (13.175, 41.24310484), (13.175, 41.76706221333333), (12.483333333333334, 41.76706221333333), (12.483333333333334, 41.24310484)]	26	21
A310	13.125000	43.812500	[(12.483333333333334, 43.338934333333334), (13.175, 43.338934333333334), (13.175, 43.862891706666666), (12.483333333333334, 43.862891706666666), (12.483333333333334, 43.338934333333334)]	26	25
A311	12.858953	44.184122	[(12.483333333333334, 43.862891706666666), (13.175, 43.862891706666666), (13.175, 44.38684908), (12.483333333333334, 44.38684908), (12.483333333333334, 43.862891706666666)]	26	26
A312	12.816092	44.653736	[(12.483333333333334, 44.38684908), (13.175, 44.38684908), (13.175, 44.910806453333336), (12.483333333333334, 44.910806453333336), (12.483333333333334, 44.38684908)]	26	27
A313	12.819767	45.160610	[(12.483333333333334, 44.910806453333336), (13.175, 44.910806453333336), (13.175, 45.43476382666667), (12.483333333333334, 45.43476382666667), (12.483333333333334, 44.910806453333336)]	26	28
A314	12.918269	45.502404	[(12.483333333333334, 45.43476382666667), (13.175, 45.43476382666667), (13.175, 45.9587212), (12.483333333333334, 45.9587212), (12.483333333333334, 45.43476382666667)]	26	29
A315	13.718750	32.812500	[(13.175, 32.335829493333335), (13.866666666666667, 32.335829493333335), (13.866666666666667, 32.85978686666667), (13.175, 32.85978686666667), (13.175, 32.335829493333335)]	27	4
A316	13.509973	33.138298	[(13.175, 32.85978686666667), (13.866666666666667, 32.85978686666667), (13.866666666666667, 33.38374424), (13.175, 33.38374424), (13.175, 32.85978686666667)]	27	5
A317	13.500000	33.656250	[(13.175, 33.38374424), (13.866666666666667, 33.38374424), (13.866666666666667, 33.90770161333333), (13.175, 33.90770161333333), (13.175, 33.38374424)]	27	6
A318	13.500000	34.156250	[(13.175, 33.90770161333333), (13.866666666666667, 33.90770161333333), (13.866666666666667, 34.43165898666666), (13.175, 34.43165898666666), (13.175, 33.90770161333333)]	27	7
A319	13.500000	34.687500	[(13.175, 34.43165898666666), (13.866666666666667, 34.43165898666666), (13.866666666666667, 34.95561636), (13.175, 34.95561636), (13.175, 34.43165898666666)]	27	8
A320	13.500000	35.218750	[(13.175, 34.95561636), (13.866666666666667, 34.95561636), (13.866666666666667, 35.47957373333333), (13.175, 35.47957373333333), (13.175, 34.95561636)]	27	9
A321	13.500000	35.750000	[(13.175, 35.47957373333333), (13.866666666666667, 35.47957373333333), (13.866666666666667, 36.003531106666664), (13.175, 36.003531106666664), (13.175, 35.47957373333333)]	27	10
A322	13.500000	36.281250	[(13.175, 36.003531106666664), (13.866666666666667, 36.003531106666664), (13.866666666666667, 36.52748848), (13.175, 36.52748848), (13.175, 36.003531106666664)]	27	11
A323	13.500000	36.781250	[(13.175, 36.52748848), (13.866666666666667, 36.52748848), (13.866666666666667, 37.051445853333334), (13.175, 37.051445853333334), (13.175, 36.52748848)]	27	12
A324	13.423295	37.176136	[(13.175, 37.051445853333334), (13.866666666666667, 37.051445853333334), (13.866666666666667, 37.575403226666666), (13.175, 37.575403226666666), (13.175, 37.051445853333334)]	27	13
A325	13.718750	38.062500	[(13.175, 37.575403226666666), (13.866666666666667, 37.575403226666666), (13.866666666666667, 38.0993606), (13.175, 38.0993606), (13.175, 37.575403226666666)]	27	14
A326	13.520062	38.360340	[(13.175, 38.0993606), (13.866666666666667, 38.0993606), (13.866666666666667, 38.62331797333333), (13.175, 38.62331797333333), (13.175, 38.0993606)]	27	15
A327	13.506443	38.878222	[(13.175, 38.62331797333333), (13.866666666666667, 38.62331797333333), (13.866666666666667, 39.14727534666667), (13.175, 39.14727534666667), (13.175, 38.62331797333333)]	27	16
A328	13.500000	39.406250	[(13.175, 39.14727534666667), (13.866666666666667, 39.14727534666667), (13.866666666666667, 39.67123272), (13.175, 39.67123272), (13.175, 39.14727534666667)]	27	17
A329	13.500000	39.937500	[(13.175, 39.67123272), (13.866666666666667, 39.67123272), (13.866666666666667, 40.19519009333333), (13.175, 40.19519009333333), (13.175, 39.67123272)]	27	18
A330	13.500000	40.468750	[(13.175, 40.19519009333333), (13.866666666666667, 40.19519009333333), (13.866666666666667, 40.71914746666667), (13.175, 40.71914746666667), (13.175, 40.19519009333333)]	27	19
A331	13.496408	40.966236	[(13.175, 40.71914746666667), (13.866666666666667, 40.71914746666667), (13.866666666666667, 41.24310484), (13.175, 41.24310484), (13.175, 40.71914746666667)]	27	20
A332	13.312500	41.250000	[(13.175, 41.24310484), (13.866666666666667, 41.24310484), (13.866666666666667, 41.76706221333333), (13.175, 41.76706221333333), (13.175, 41.24310484)]	27	21
A333	13.812500	43.281250	[(13.175, 42.814976959999996), (13.866666666666667, 42.814976959999996), (13.866666666666667, 43.338934333333334), (13.175, 43.338934333333334), (13.175, 42.814976959999996)]	27	24
A334	13.601064	43.671543	[(13.175, 43.338934333333334), (13.866666666666667, 43.338934333333334), (13.866666666666667, 43.862891706666666), (13.175, 43.862891706666666), (13.175, 43.338934333333334)]	27	25
A335	13.500000	44.125000	[(13.175, 43.862891706666666), (13.866666666666667, 43.862891706666666), (13.866666666666667, 44.38684908), (13.175, 44.38684908), (13.175, 43.862891706666666)]	27	26
A336	13.496408	44.653736	[(13.175, 44.38684908), (13.866666666666667, 44.38684908), (13.866666666666667, 44.910806453333336), (13.175, 44.910806453333336), (13.175, 44.38684908)]	27	27
A337	13.394792	45.138542	[(13.175, 44.910806453333336), (13.866666666666667, 44.910806453333336), (13.866666666666667, 45.43476382666667), (13.175, 45.43476382666667), (13.175, 44.910806453333336)]	27	28
A338	13.440625	45.578125	[(13.175, 45.43476382666667), (13.866666666666667, 45.43476382666667), (13.866666666666667, 45.9587212), (13.175, 45.9587212), (13.175, 45.43476382666667)]	27	29
A339	14.290948	32.737069	[(13.866666666666667, 32.335829493333335), (14.558333333333334, 32.335829493333335), (14.558333333333334, 32.85978686666667), (13.866666666666667, 32.85978686666667), (13.866666666666667, 32.335829493333335)]	28	4
A340	14.187500	33.125000	[(13.866666666666667, 32.85978686666667), (14.558333333333334, 32.85978686666667), (14.558333333333334, 33.38374424), (13.866666666666667, 33.38374424), (13.866666666666667, 32.85978686666667)]	28	5
A341	14.187500	33.656250	[(13.866666666666667, 33.38374424), (14.558333333333334, 33.38374424), (14.558333333333334, 33.90770161333333), (13.866666666666667, 33.90770161333333), (13.866666666666667, 33.38374424)]	28	6
A342	14.187500	34.156250	[(13.866666666666667, 33.90770161333333), (14.558333333333334, 33.90770161333333), (14.558333333333334, 34.43165898666666), (13.866666666666667, 34.43165898666666), (13.866666666666667, 33.90770161333333)]	28	7
