area	lon_wmc	lat_wmc	area_ext_coord	indx	indy
A028	-0.991758	37.290522	[(-1.3499999999999996, 37.051445853333334), (-0.6583333333333332, 37.051445853333334), (-0.6583333333333332, 37.575403226666666), (-1.3499999999999996, 37.575403226666666), (-1.3499999999999996, 37.051445853333334)]	6	13
A029	-0.687500	37.781250	[(-1.3499999999999996, 37.575403226666666), (-0.6583333333333332, 37.575403226666666), (-0.6583333333333332, 38.0993606), (-1.3499999999999996, 38.0993606), (-1.3499999999999996, 37.575403226666666)]	6	14
A030	-0.343750	35.957386	[(-0.6583333333333332, 35.47957373333333), (0.033333333333333215, 35.47957373333333), (0.033333333333333215, 36.003531106666664), (-0.6583333333333332, 36.003531106666664), (-0.6583333333333332, 35.47957373333333)]	7	10
A031	-0.312500	36.281250	[(-0.6583333333333332, 36.003531106666664), (0.033333333333333215, 36.003531106666664), (0.033333333333333215, 36.52748848), (-0.6583333333333332, 36.52748848), (-0.6583333333333332, 36.003531106666664)]	7	11
A032	-0.312500	36.781250	[(-0.6583333333333332, 36.52748848), (0.033333333333333215, 36.52748848), (0.033333333333333215, 37.051445853333334), (-0.6583333333333332, 37.051445853333334), (-0.6583333333333332, 36.52748848)]	7	12
A033	-0.312500	37.312500	[(-0.6583333333333332, 37.051445853333334), (0.033333333333333215, 37.051445853333334), (0.033333333333333215, 37.575403226666666), (-0.6583333333333332, 37.575403226666666), (-0.6583333333333332, 37.051445853333334)]	7	13
A034	-0.312500	37.843750	[(-0.6583333333333332, 37.575403226666666), (0.033333333333333215, 37.575403226666666), (0.033333333333333215, 38.0993606), (-0.6583333333333332, 38.0993606), (-0.6583333333333332, 37.575403226666666)]	7	14
A035	-0.220982	38.289062	[(-0.6583333333333332, 38.0993606), (0.033333333333333215, 38.0993606), (0.033333333333333215, 38.62331797333333), (-0.6583333333333332, 38.62331797333333), (-0.6583333333333332, 38.0993606)]	7	15
A036	-0.069444	39.076389	[(-0.6583333333333332, 38.62331797333333), (0.033333333333333215, 38.62331797333333), (0.033333333333333215, 39.14727534666667), (-0.6583333333333332, 39.14727534666667), (-0.6583333333333332, 38.62331797333333)]	7	16
A037	-0.107143	39.408929	[(-0.6583333333333332, 39.14727534666667), (0.033333333333333215, 39.14727534666667), (0.033333333333333215, 39.67123272), (-0.6583333333333332, 39.67123272), (-0.6583333333333332, 39.14727534666667)]	7	17
A038	-0.048611	39.756944	[(-0.6583333333333332, 39.67123272), (0.033333333333333215, 39.67123272), (0.033333333333333215, 40.19519009333333), (-0.6583333333333332, 40.19519009333333), (-0.6583333333333332, 39.67123272)]	7	18
A039	0.307598	36.367647	[(0.033333333333333215, 36.003531106666664), (0.7249999999999996, 36.003531106666664), (0.7249999999999996, 36.52748848), (0.033333333333333215, 36.52748848), (0.033333333333333215, 36.003531106666664)]	8	11
A040	0.375000	36.781250	[(0.033333333333333215, 36.52748848), (0.7249999999999996, 36.52748848), (0.7249999999999996, 37.051445853333334), (0.033333333333333215, 37.051445853333334), (0.033333333333333215, 36.52748848)]	8	12
A041	0.375000	37.312500	[(0.033333333333333215, 37.051445853333334), (0.7249999999999996, 37.051445853333334), (0.7249999999999996, 37.575403226666666), (0.033333333333333215, 37.575403226666666), (0.033333333333333215, 37.051445853333334)]	8	13
A042	0.375000	37.843750	[(0.033333333333333215, 37.575403226666666), (0.7249999999999996, 37.575403226666666), (0.7249999999999996, 38.0993606), (0.033333333333333215, 38.0993606), (0.033333333333333215, 37.575403226666666)]	8	14
A043	0.375000	38.343750	[(0.033333333333333215, 38.0993606), (0.7249999999999996, 38.0993606), (0.7249999999999996, 38.62331797333333), (0.033333333333333215, 38.62331797333333), (0.033333333333333215, 38.0993606)]	8	15
A044	0.417411	38.895089	[(0.033333333333333215, 38.62331797333333), (0.7249999999999996, 38.62331797333333), (0.7249999999999996, 39.14727534666667), (0.033333333333333215, 39.14727534666667), (0.033333333333333215, 38.62331797333333)]	8	16
A045	0.375000	39.406250	[(0.033333333333333215, 39.14727534666667), (0.7249999999999996, 39.14727534666667), (0.7249999999999996, 39.67123272), (0.033333333333333215, 39.67123272), (0.033333333333333215, 39.14727534666667)]	8	17
A046	0.396978	39.919643	[(0.033333333333333215, 39.67123272), (0.7249999999999996, 39.67123272), (0.7249999999999996, 40.19519009333333), (0.033333333333333215, 40.19519009333333), (0.033333333333333215, 39.67123272)]	8	18
A047	0.567935	40.355978	[(0.033333333333333215, 40.19519009333333), (0.7249999999999996, 40.19519009333333), (0.7249999999999996, 40.71914746666667), (0.033333333333333215, 40.71914746666667), (0.033333333333333215, 40.19519009333333)]	8	19
A048	0.840278	36.465278	[(0.7249999999999996, 36.003531106666664), (1.416666666666666, 36.003531106666664), (1.416666666666666, 36.52748848), (0.7249999999999996, 36.52748848), (0.7249999999999996, 36.003531106666664)]	9	11
A049	1.062500	36.781250	[(0.7249999999999996, 36.52748848), (1.416666666666666, 36.52748848), (1.416666666666666, 37.051445853333334), (0.7249999999999996, 37.051445853333334), (0.7249999999999996, 36.52748848)]	9	12
A050	1.062500	37.312500	[(0.7249999999999996, 37.051445853333334), (1.416666666666666, 37.051445853333334), (1.416666666666666, 37.575403226666666), (0.7249999999999996, 37.575403226666666), (0.7249999999999996, 37.051445853333334)]	9	13
A051	1.062500	37.843750	[(0.7249999999999996, 37.575403226666666), (1.416666666666666, 37.575403226666666), (1.416666666666666, 38.0993606), (0.7249999999999996, 38.0993606), (0.7249999999999996, 37.575403226666666)]	9	14
A052	1.062500	38.343750	[(0.7249999999999996, 38.0993606), (1.416666666666666, 38.0993606), (1.416666666666666, 38.62331797333333), (0.7249999999999996, 38.62331797333333), (0.7249999999999996, 38.0993606)]	9	15
A053	1.029119	38.866477	[(0.7249999999999996, 38.62331797333333), (1.416666666666666, 38.62331797333333), (1.416666666666666, 39.14727534666667), (0.7249999999999996, 39.14727534666667), (0.7249999999999996, 38.62331797333333)]	9	16
A054	1.062500	39.406250	[(0.7249999999999996, 39.14727534666667), (1.416666666666666, 39.14727534666667), (1.416666666666666, 39.67123272), (0.7249999999999996, 39.67123272), (0.7249999999999996, 39.14727534666667)]	9	17
A055	1.062500	39.937500	[(0.7249999999999996, 39.67123272), (1.416666666666666, 39.67123272), (1.416666666666666, 40.19519009333333), (0.7249999999999996, 40.19519009333333), (0.7249999999999996, 39.67123272)]	9	18
A056	1.072794	40.461765	[(0.7249999999999996, 40.19519009333333), (1.416666666666666, 40.19519009333333), (1.416666666666666, 40.71914746666667), (0.7249999999999996, 40.71914746666667), (0.7249999999999996, 40.19519009333333)]	9	19
A057	1.147135	40.889323	[(0.7249999999999996, 40.71914746666667), (1.416666666666666, 40.71914746666667), (1.416666666666666, 41.24310484), (0.7249999999999996, 41.24310484), (0.7249999999999996, 40.71914746666667)]	9	20
A058	1.739198	36.800154	[(1.416666666666666, 36.52748848), (2.1083333333333334, 36.52748848), (2.1083333333333334, 37.051445853333334), (1.416666666666666, 37.051445853333334), (1.416666666666666, 36.52748848)]	10	12
A059	1.750000	37.312500	[(1.416666666666666, 37.051445853333334), (2.1083333333333334, 37.051445853333334), (2.1083333333333334, 37.575403226666666), (1.416666666666666, 37.575403226666666), (1.416666666666666, 37.051445853333334)]	10	13
A060	1.750000	37.843750	[(1.416666666666666, 37.575403226666666), (2.1083333333333334, 37.575403226666666), (2.1083333333333334, 38.0993606), (1.416666666666666, 38.0993606), (1.416666666666666, 37.575403226666666)]	10	14
A061	1.750000	38.343750	[(1.416666666666666, 38.0993606), (2.1083333333333334, 38.0993606), (2.1083333333333334, 38.62331797333333), (1.416666666666666, 38.62331797333333), (1.416666666666666, 38.0993606)]	10	15
A062	1.811709	38.860759	[(1.416666666666666, 38.62331797333333), (2.1083333333333334, 38.62331797333333), (2.1083333333333334, 39.14727534666667), (1.416666666666666, 39.14727534666667), (1.416666666666666, 38.62331797333333)]	10	16
A063	1.750000	39.406250	[(1.416666666666666, 39.14727534666667), (2.1083333333333334, 39.14727534666667), (2.1083333333333334, 39.67123272), (1.416666666666666, 39.67123272), (1.416666666666666, 39.14727534666667)]	10	17
A064	1.750000	39.937500	[(1.416666666666666, 39.67123272), (2.1083333333333334, 39.67123272), (2.1083333333333334, 40.19519009333333), (1.416666666666666, 40.19519009333333), (1.416666666666666, 39.67123272)]	10	18
A065	1.750000	40.468750	[(1.416666666666666, 40.19519009333333), (2.1083333333333334, 40.19519009333333), (2.1083333333333334, 40.71914746666667), (1.416666666666666, 40.71914746666667), (1.416666666666666, 40.19519009333333)]	10	19
